X,Y,Z
3.596317,-4.594165,-1.311986
-0.695317,0.886365,0.501673
0.12034,-0.242361,0.001833
0.081092,-0.064904,-0.002138
0.025045,0.087354,0.009163
-0.006872,0.098044,0.01573
-0.030696,0.091019,0.008858
-0.041081,0.062308,0.006109
-0.041539,0.014508,-0.007941
-0.038026,-0.034056,-0.025962
-0.031918,-0.065363,-0.038943
-0.025809,-0.099571,-0.040012
-0.025198,-0.104458,-0.025198
0.00336,-0.103236,-0.017257
0.020006,-0.095295,-0.017562
0.037721,-0.088881,-0.014966
0.016341,-0.032834,-0.007941
0.047495,-0.05849,-0.020617
0.068111,-0.036194,-0.03146
0.067806,-0.00168,-0.034972
0.074373,0.002596,-0.037568
0.079565,-0.023976,-0.025962
0.082467,-0.050244,-0.01741
0.07758,-0.066279,-0.013439
0.067042,-0.080176,-0.006109
0.057879,-0.078802,0.00336
0.060323,-0.02642,0.010537
0.071624,0.057574,0.015577
0.084147,0.152105,0.021228
0.091935,0.217468,0.02306
0.094684,0.225409,0.020922
0.09499,0.172875,0.035736
0.077122,0.092546,0.05284
0.072846,0.043524,0.054214
0.071166,0.026878,0.055131
0.079718,0.064752,0.037568
0.078649,0.085979,0.022297
0.07422,0.084605,0.011759
0.066737,0.043982,0.015272
0.067653,-0.007025,0.022755
0.078343,-0.039095,0.027336
0.085368,-0.019853,0.029016
0.082314,-0.010996,0.024129
0.063988,-0.015272,0.015424
0.046884,-0.021838,-0.001069
0.038179,-0.022449,-0.023213
0.030849,-0.004734,-0.018021
0.016035,0.022907,-0.006414
0.002749,0.065057,0.007025
-0.023824,0.107207,-0.006414
-0.047189,0.112857,-0.013592
-0.066126,0.069333,-0.019548
-0.079412,-0.00504,-0.021533
-0.062156,-0.076664,-0.005651
-0.025045,-0.094379,0.00504
0.013286,-0.08659,0.009927
0.035277,-0.070402,0.019548
0.067806,-0.039554,0.0281
0.107665,0.001222,0.028405
0.139277,0.03207,0.028558
0.150273,0.040164,0.043677
0.162337,0.046731,0.048869
0.149051,0.014661,0.039706
0.1321,-0.022602,0.023671
0.08659,-0.047037,0.020159
0.041386,-0.04948,0.003818
0.024587,-0.040775,-0.012981
0.000458,-0.028558,-0.016341
-0.018326,-0.023671,-0.024282
-0.042761,-0.037721,-0.014355
-0.047037,-0.031001,-0.016493
-0.028253,-0.036194,-0.029627
-0.010232,-0.017104,-0.023213
0.022602,0.008247,-0.01909
0.026878,0.018021,-0.011301
0.032681,0.027031,-0.005498
0.028711,0.027336,-0.00672
0.011912,0.021075,-0.014813
-0.003054,0.023976,-0.023671
-0.017257,0.020464,-0.026114
-0.021228,0.011301,-0.019395
-0.026878,0.005803,-0.013592
-0.032834,0.018021,-0.019395
-0.048869,0.038332,-0.021686
-0.069639,0.05681,-0.029474
-0.079107,0.049633,-0.032834
-0.086285,0.0281,-0.046884
-0.088423,-0.010385,-0.045968
-0.090255,-0.032529,-0.036346
-0.083536,-0.04047,-0.025962
-0.064446,0.018479,-0.026878
-0.01909,0.076205,-0.027184
0.020159,0.078343,-0.026114
0.047495,0.064141,-0.010079
0.084299,0.047647,-0.007178
0.112094,0.049022,-0.03207
0.101709,0.036652,-0.024587
0.073151,0.031765,-0.016035
0.05284,0.0281,-0.018173
0.015424,0.018631,-0.023213
-0.015119,-0.004581,-0.028863
-0.041386,-0.029932,-0.029169
-0.058032,-0.040012,-0.019853
-0.052382,-0.05284,0.00901
-0.061392,-0.021228,-0.026267
-0.050244,-0.015424,-0.022907
-0.038332,-0.042302,-0.016341
-0.025504,-0.067195,-0.010232
-0.013897,-0.080176,-0.011912
0.005803,-0.06857,-0.018479
0.015577,-0.039706,-0.011148
0.023518,-0.017562,-0.006414
0.023671,-0.02306,0.002749
0.015272,-0.007636,0.002443
0.014203,0.00733,0.005956
0.000458,0.030543,-0.004123
-0.018173,0.039095,-0.014508
-0.021838,0.025809,-0.022907
-0.019853,0.000916,-0.022144
-0.02138,-0.035736,-0.014203
-0.032987,-0.048258,-0.010232
-0.015882,-0.078802,0.002596
-0.010843,-0.075747,0.003054
-0.000764,-0.03543,-0.005498
0.005651,0.002291,-0.003665
0.026573,0.018631,-0.00733
0.031154,0.014661,-0.000764
0.035736,0.000305,0.002443
0.028863,-0.039554,-0.004123
0.016952,-0.070402,0.000305
0.000153,-0.064141,-0.038026
-0.004276,-0.024893,-0.011912
-0.025809,-0.002291,-0.010537
-0.041997,-0.021686,-0.020922
-0.039859,-0.051771,-0.021533
-0.034972,-0.084605,-0.033139
-0.029932,-0.11133,-0.029474
-0.029322,-0.112399,-0.020006
-0.036346,-0.089492,-0.014813
-0.056047,-0.056352,-0.014813
-0.086743,-0.02138,-0.022602
-0.103084,-0.007178,-0.026725
-0.112857,-0.001527,-0.049938
-0.108123,-0.027489,-0.032376
-0.103389,-0.046884,-0.021838
-0.083536,-0.034056,-0.0197
-0.040623,-0.020464,-0.002749
0.001374,0.011148,0.01237
0.044593,0.042913,0.013286
0.064294,0.108581,0.051618
0.090866,0.0478,0.018021
0.072693,0.058032,0.025809
0.069028,0.034514,0.010537
0.034056,0.030849,0.00672
0.003207,0.019853,-0.001985
-0.012065,0.007025,-0.012523
-0.024893,-0.038332,-0.005956
-0.022297,-0.071471,-0.004734
-0.020159,-0.102931,0.0
-0.010385,-0.091782,-0.001069
-0.013286,-0.059865,-0.006109
-0.008094,-0.022297,-0.00504
0.004581,0.006567,-0.007178
0.008399,0.030543,-0.009163
0.005651,0.017715,-0.004276
-0.000611,0.012065,-0.003512
-0.005345,0.02306,-0.00504
-0.006872,0.036499,-0.004123
-0.010843,0.04444,-0.010079
-0.011606,0.042761,-0.009774
-0.009774,0.044899,-0.015882
-0.018631,0.041844,-0.010996
-0.008399,0.033903,-0.010537
0.000764,0.016799,-0.015424
-0.006414,0.002596,-0.011912
-0.019548,-0.002596,-0.01069
-0.031001,-0.013439,-0.01909
-0.032834,-0.035125,-0.0197
-0.02642,-0.033598,-0.017257
0.000611,-0.016493,-0.008552
0.029322,0.006414,0.001374
0.049786,0.019853,0.006261
0.057574,0.017715,0.004887
0.039401,0.013286,0.003665
0.028863,0.003207,-0.004887
0.018937,0.013286,-0.006567
0.006261,0.013897,-0.011606
0.005498,0.015882,-0.00733
-0.003054,0.017868,-0.014661
-0.001069,0.012217,-0.015119
0.000458,0.023824,-0.018326
0.004123,0.008094,-0.012981
0.011759,-0.01237,-0.013134
0.020464,-0.03146,-0.009621
0.031001,-0.034514,-0.000305
0.048564,0.003818,0.000916
0.052229,0.017715,0.001527
0.058185,0.043066,0.001222
0.049938,0.06353,-0.010079
0.027031,0.04047,-0.014355
0.008858,0.003512,-0.018326
-0.010079,-0.030085,-0.013744
-0.024893,-0.053451,-0.014813
-0.036652,-0.063377,-0.01573
-0.032376,-0.068417,-0.01405
-0.034056,-0.047647,-0.013134
-0.030085,-0.018631,-0.013592
-0.023671,0.028253,-0.012828
-0.015424,0.067501,-0.014355
-0.007941,0.09728,-0.014355
-0.005803,0.088423,-0.006109
-0.000611,0.068417,-0.000458
0.007636,0.033903,0.008552
0.013744,0.02306,0.010385
0.020159,0.033292,0.007636
0.023976,0.056963,0.007483
0.022144,0.062614,0.008552
0.016952,0.057269,0.006109
0.007941,0.039859,0.005956
0.00168,0.005956,-0.001374
-0.016493,-0.043677,0.000916
-0.017715,-0.051771,-0.00504
-0.028711,-0.054214,0.006261
-0.00901,0.000458,0.002902
0.005345,0.05116,0.006414
0.002138,0.083689,0.002902
0.001069,0.084299,0.01069
-0.009621,0.078343,0.004429
-0.013286,0.066737,0.005345
-0.013134,0.04948,0.005651
-0.016952,0.041997,0.002596
-0.007789,0.02138,0.000764
0.001069,0.018173,0.000458
0.010996,0.034972,0.002443
0.02306,0.038026,0.00168
0.011606,0.032987,-0.001069
0.011454,0.015882,-0.002443
0.012675,0.001985,-0.000153
0.010385,-0.024893,0.01237
0.009774,-0.020006,0.013286
0.015272,-0.002291,0.011606
0.015882,0.006109,0.000611
0.018631,0.021533,0.00168
0.019548,0.029627,0.000764
0.020464,0.025962,0.007025
0.032681,0.023976,0.007636
0.029322,0.005803,0.006109
0.016341,-0.016341,0.006109
0.012523,-0.008858,0.007483
0.009621,0.010385,0.003665
0.012065,0.046273,-0.005651
-0.00336,0.041233,0.007178
-0.00504,0.045968,-0.004276
-0.016952,0.032376,-0.008247
-0.024282,0.016646,-0.006872
-0.037415,0.009774,-0.005345
-0.03711,0.011301,0.002749
-0.03711,0.028253,-0.001069
-0.032529,0.040775,-0.000458
-0.033445,0.038485,0.002291
-0.025351,0.031918,0.003512
-0.016646,0.041233,0.009927
-0.009468,0.058643,0.010232
-0.000153,0.050244,0.011301
-0.001833,0.0197,0.007789
0.005956,-0.009774,0.016493
0.013897,-0.022297,0.01237
0.019395,-0.016799,0.016493
0.030085,0.002291,0.020464
0.014661,0.013134,0.013439
0.001069,0.008094,0.02138
-0.012065,0.014508,0.020006
-0.028863,0.013286,0.01573
-0.029322,0.023213,0.012065
-0.032681,0.015272,0.009621
-0.031612,0.015577,0.009316
-0.020769,0.016952,0.007178
-0.011301,0.024893,0.002596
-0.005498,0.018173,0.012217
0.004887,0.024893,0.013439
0.011606,0.032529,0.014813
0.017868,0.037263,0.009316
0.014508,0.042608,0.011301
0.010232,0.051007,0.005803
0.003971,0.050091,0.00336
-0.010079,0.017868,0.01405
-0.016646,0.003054,0.013592
-0.026114,-0.00733,0.004276
-0.027794,-0.002291,-0.011301
-0.035736,-0.015577,-0.012065
-0.033292,-0.00336,-0.004276
-0.022449,0.020006,-0.003818
-0.009621,0.024435,0.004429
0.006261,0.024282,0.00504
0.016035,0.023518,0.000611
0.014813,0.023824,0.003054
0.014966,0.007789,0.000916
0.008094,0.001985,0.003207
0.015272,-0.002443,0.004734
0.015882,-0.006414,0.000305
0.016035,-0.024282,-0.009774
0.009468,-0.034972,-0.02306
-0.006261,-0.076969,-0.006414
-0.000305,-0.0281,-0.003512
0.007789,-0.002902,-0.003818
0.015272,0.041539,-0.011606
0.004276,0.043219,-0.005345
-0.01069,0.024282,-0.005651
-0.014813,-0.006414,-0.002443
-0.006414,-0.025045,0.0
0.00901,-0.023671,0.015577
0.034056,-0.008094,0.029474
0.054214,-0.001069,0.049022
0.078802,0.051924,0.028558
0.084605,0.099266,0.017562
0.078954,0.130878,0.013439
0.074984,0.13775,0.016799
0.073457,0.148593,-0.001069
0.069944,0.126449,-0.000611
0.053145,0.068722,0.019548
0.015577,0.031918,-0.001222
-0.007483,0.004734,-0.006414
-0.037415,-0.009774,-0.010996
-0.045662,-0.00733,-0.01573
-0.047953,0.020311,-0.017104
-0.040775,0.060018,-0.022755
-0.034514,0.072998,-0.017868
-0.016188,0.052382,-0.007178
-0.000916,0.003818,0.000458
0.010079,-0.050549,0.009468
0.013439,-0.036957,0.019242
0.021991,0.01573,0.01069
0.020617,0.062156,0.007789
0.012523,0.071624,0.001985
0.003207,0.050549,-0.006109
-0.006261,0.013286,-0.009316
-0.019548,0.005803,-0.007789
-0.033139,0.017715,-0.010843
-0.045357,0.024282,-0.013897
-0.048869,0.027184,-0.012828
-0.054978,0.027794,-0.012675
-0.045815,0.036346,-0.011606
-0.038943,0.034972,-0.009927
-0.019548,0.016341,-0.00336
-0.009468,0.007178,0.000153
0.015424,0.007789,0.003971
0.032223,-0.008399,0.003207
0.030238,-0.012675,0.008858
0.036957,-0.015424,0.014813
0.052229,-0.013439,0.010537
0.045662,-0.009774,0.006567
0.024129,-0.029169,0.000305
0.006567,-0.060628,-0.005651
-0.009468,-0.072998,-0.003971
0.002443,-0.057727,0.001527
0.023366,0.007483,0.008705
0.054062,0.074067,0.011759
0.052229,0.089644,0.017562
0.043066,0.087048,0.009316
0.03375,0.059254,0.001069
0.016188,0.027489,-0.001527
0.013134,0.006261,-0.006109
0.005345,-0.01237,-0.009468
0.0,-0.029322,-0.007789
-0.004887,-0.024435,-0.01237
0.003818,-0.008247,-0.013592
0.009774,-0.000305,-0.011148
0.027489,0.01909,-0.012828
0.03146,0.025809,-0.014661
0.032681,0.001374,-0.007025
0.078038,-0.000153,-0.01069
0.036041,-0.003054,-0.006109
0.034361,0.001985,-0.005651
0.028558,0.002443,-0.005803
0.020006,0.000305,-0.002596
0.018784,-0.012981,-0.00504
0.016035,-0.032376,-0.00672
0.010385,-0.052229,-0.004581
0.014508,-0.061392,-0.013286
0.007483,-0.052687,-0.007178
0.013439,-0.039248,-0.006414
0.011301,-0.006414,-0.003971
0.025962,0.015272,0.002138
0.026267,0.010537,-0.000305
0.018173,0.006414,-0.005498
0.012981,0.008552,-0.016341
0.023824,0.001222,-0.007789
0.02474,-0.000611,-0.001374
0.036346,0.004581,-0.000458
0.040164,-0.001222,-0.004123
0.030849,-0.036805,-0.00733
0.032987,-0.06689,-0.005956
0.027184,-0.085827,-0.003971
0.024435,-0.082467,-0.009468
0.039554,-0.058643,-0.006414
0.038332,-0.036652,-0.014355
0.021838,-0.031307,-0.018326
-0.00504,-0.063072,-0.009316
-0.018631,-0.085368,-0.012065
-0.011606,-0.073762,-0.020922
0.000458,-0.048106,-0.027184
0.005803,-0.02978,-0.026573
-0.002596,-0.034972,-0.015882
-0.015272,-0.020006,-0.013897
-0.024587,0.023213,-0.016035
-0.033598,0.046731,-0.022297
-0.031154,0.049786,-0.022907
-0.029627,0.041539,-0.015577
-0.014661,0.021533,-0.00901
-0.00168,-0.004734,0.000153
0.010996,-0.02642,0.002596
0.016646,-0.041233,0.012675
0.029016,-0.039095,0.01741
0.038485,-0.025045,0.021075
0.048106,-0.009927,0.013897
0.046731,-0.016035,0.011454
0.046273,-0.033292,0.009927
0.045968,-0.050702,0.01405
0.048869,-0.046273,0.011148
0.054825,-0.036194,0.002902
0.059101,-0.044746,0.005498
0.05849,-0.049327,0.006109
0.055131,-0.03879,0.007789
0.054978,-0.009621,0.004429
0.043677,-0.003818,0.001374
0.035888,-0.006567,0.002902
0.018479,-0.029932,-0.000764
0.003054,-0.069028,-0.005345
-0.017715,-0.100945,-0.011912
-0.02642,-0.116828,0.000458
-0.033903,-0.059254,0.032529
-0.043371,-0.075289,0.017868
-0.057269,-0.092852,-0.014813
-0.045357,-0.056505,-0.029169
-0.029016,-0.02474,-0.031001
0.004276,0.010079,-0.02642
0.026267,0.031307,-0.007178
0.076511,0.045357,-0.007789
0.057421,0.03146,-0.005803
0.057727,0.004734,-0.010843
0.048106,-0.027947,0.006567
0.031612,-0.031612,0.001985
0.01741,-0.035583,-0.000764
0.000153,-0.03711,-0.015272
-0.018479,-0.037568,-0.02474
-0.008705,-0.019242,-0.030238
-0.000611,-0.005803,-0.022449
-0.008858,0.000764,-0.013286
-0.018631,0.027947,-0.031154
-0.019395,0.087201,-0.056505
-0.009163,0.081856,-0.061087
0.01237,0.045968,-0.029016
0.038943,0.034819,-0.012675
0.055131,0.053756,0.008858
0.069639,0.074831,0.013439
0.08995,0.091019,0.017562
0.08827,0.097433,0.013439
0.071013,0.070402,0.02138
0.052076,0.020922,0.01573
0.040012,0.015882,0.014355
0.035277,0.025656,0.002902
0.041233,0.028863,0.008247
0.047189,0.035888,0.014813
0.042455,0.043524,0.007636
0.033903,0.038332,0.003512
0.016341,0.036805,-0.001527
0.007636,0.045509,-0.003512
-0.00901,0.045357,-0.004123
-0.020006,0.041386,-0.004581
-0.024282,0.038485,-0.011606
-0.020922,0.036805,-0.01573
-0.03146,0.020617,-0.014966
-0.038943,0.015272,-0.017257
-0.036346,0.008399,-0.029322
-0.029016,-0.012523,-0.020006
-0.020617,-0.029627,-0.005956
-0.00672,-0.008247,-0.015272
0.021075,0.037721,-0.025962
0.037721,0.060476,-0.030238
0.050244,0.060934,-0.046884
0.048564,0.055894,-0.045357
0.047647,0.041539,-0.040164
0.041844,0.032987,-0.031765
0.031765,0.025198,-0.026114
0.016188,0.01237,-0.03146
0.006567,-0.015272,-0.035277
-0.002291,0.002138,-0.066126
-0.028558,-0.007789,-0.061392
-0.022297,-0.000458,-0.049633
0.00901,0.0478,-0.040164
0.041692,0.050549,-0.018784
0.062156,0.065668,-0.017257
0.067348,0.065668,-0.01573
0.048106,0.059254,-0.01741
0.021228,0.05116,-0.018937
0.001985,0.02978,-0.013439
-0.008858,0.000916,-0.010385
-0.015882,-0.022907,-0.022144
-0.01909,-0.033598,-0.019853
-0.023518,-0.02138,-0.022907
-0.015882,0.016493,-0.020617
-0.00504,0.046578,-0.028711
0.001222,0.036957,-0.020311
0.018937,0.02474,-0.015577
0.013134,0.018937,-0.008399
0.016799,0.01741,-0.005803
0.010232,0.01573,-0.003207
-0.005803,0.006567,-0.010996
-0.014661,-0.008552,-0.017562
-0.015272,-0.030543,-0.023366
-0.008399,-0.034056,-0.017868
-0.006261,-0.030543,-0.010843
0.006872,-0.019548,-0.005803
0.020311,-0.028405,0.000305
0.026114,-0.026725,0.004123
0.022907,-0.006261,0.001374
0.026114,0.027336,-0.010843
0.016341,0.052993,-0.010079
0.009316,0.05849,-0.008858
-0.002291,0.035736,-0.009316
-0.013286,0.002596,-0.013439
-0.016493,-0.011759,-0.011759
-0.00901,-0.010232,-0.001833
0.002749,0.002902,-0.008705
0.002443,0.005192,-0.00336
0.018937,0.012981,-0.005345
0.027184,0.015272,-0.012217
0.012065,0.001527,-0.021075
-0.003512,-0.038179,-0.017104
-0.010996,-0.061545,-0.011759
-0.015882,-0.05681,-0.013439
-0.009774,-0.045815,-0.012217
-0.008705,-0.021838,-0.006567
-0.012981,0.002443,-0.017868
-0.021838,0.005192,-0.032529
-0.036652,0.004276,-0.029932
-0.043219,0.0197,-0.034972
-0.034972,0.035583,-0.03711
-0.026573,0.03879,-0.035583
-0.008705,0.025351,-0.029169
-0.009468,-0.007941,-0.020159
-0.006872,-0.029016,-0.010537
-0.002596,-0.025045,-0.013439
-0.002902,-0.007483,-0.01405
-0.007789,0.004734,-0.020464
-0.003207,0.020769,-0.021228
0.002749,0.018479,-0.0197
0.009927,0.014966,-0.012523
0.016493,0.007025,-0.00504
0.018479,0.002596,-0.000916
0.031918,0.010537,-0.002138
0.034972,0.009774,-0.006261
0.024587,-0.003818,-0.007789
0.028558,-0.027031,-0.006109
0.012828,-0.037415,-0.006567
0.009621,-0.026573,-0.014508
0.017562,-0.018937,-0.023213
0.008247,-0.029322,-0.0197
0.007636,-0.054672,-0.016952
0.002749,-0.062308,-0.014508
0.001833,-0.048106,-0.00733
0.005651,-0.00672,-0.007789
0.003207,0.021991,-0.007636
0.005956,0.036346,-0.014203
0.001374,0.030238,-0.016188
4.463898,-3.446654,-4.301407
0.251524,-0.659734,-0.015577
0.05452,-0.310167,-0.085979
0.026267,-0.186008,-0.062156
-0.023366,-0.003054,-0.038026
-0.030543,0.00336,-0.04948
-0.025504,-0.01573,-0.060781
-0.009316,-0.043982,-0.074984
-0.018326,0.009163,-0.078038
-0.06017,0.080481,-0.056047
-0.058185,0.074678,-0.055131
-0.04047,0.048258,-0.040775
-0.021838,0.050855,-0.014813
-0.02138,0.064599,-0.00504
-0.014355,0.033598,-0.00733
-0.02474,0.003512,-0.022144
-0.036041,0.029932,-0.004581
-0.026267,0.003207,-0.01237
-0.027489,-0.050396,-0.020617
-0.035583,-0.076816,-0.019395
-0.051465,-0.053756,-0.021686
-0.057116,-0.054062,-0.014813
-0.060323,-0.04444,-0.025045
-0.048869,-0.033139,-0.01573
-0.041539,-0.014661,-0.009316
-0.025809,0.008247,-0.010079
-0.006109,-0.022297,-0.013897
0.007178,-0.045662,-0.028711
0.008247,-0.036499,-0.03711
0.007941,-0.032681,-0.035888
-0.000916,-0.043066,-0.046884
-0.006872,-0.058032,-0.0562
-0.020922,-0.071319,-0.078496
-0.029169,-0.078649,-0.098655
-0.029322,-0.046731,-0.092241
-0.040164,-0.026267,-0.051924
-0.042761,-0.011301,-0.028711
-0.033903,-0.005956,-0.034819
-0.035888,-0.000458,-0.033445
-0.047189,0.01741,-0.02306
-0.03207,0.01069,-0.004734
-0.016952,-0.001374,-0.004581
-0.018479,-0.006567,-0.003054
-0.014508,-0.024129,-0.010232
-0.019853,-0.040928,-0.008705
-0.018784,-0.043677,-0.00336
-0.010843,-0.034361,-0.007941
-0.016341,-0.022907,-0.008247
-0.023213,0.002138,-0.001069
-0.016646,0.006109,-0.009927
-0.004887,0.002138,-0.015272
-0.009774,0.020922,-0.011301
-0.009316,0.03879,-0.005803
0.008552,0.028863,0.000916
0.016188,0.023671,-0.008094
0.010079,0.035125,-0.006414
-0.000153,0.067959,0.0
-0.001374,0.078191,0.001222
0.008399,0.059101,-0.009774
0.008552,0.04047,-0.006261
0.009927,0.031154,-0.009316
0.010996,0.012217,-0.008705
0.017104,0.008858,-0.011606
0.013439,0.006261,-0.011759
0.014508,0.011759,-0.01237
0.018784,0.007789,-0.014203
0.019242,-0.008705,-0.005803
0.02138,-0.009621,-0.00733
0.027184,-0.013897,-0.005345
0.030696,-0.01069,-0.00336
0.016493,-0.000458,-0.002138
-0.001833,0.007636,0.000153
-0.003818,0.001222,-0.007483
0.008399,0.004734,-0.008858
0.013439,0.013897,-0.005345
0.018631,0.04047,-0.000153
0.027794,0.048869,0.003207
0.038943,0.046426,0.003207
0.041081,0.038332,0.007789
0.046273,0.032834,0.001833
0.043677,0.040623,0.005498
0.039095,0.05452,0.003665
0.041539,0.031612,0.007178
0.044899,0.016493,0.003665
0.041539,0.024435,0.009621
0.045204,0.032834,0.006567
0.04948,0.026267,0.005956
0.04383,0.014355,0.005956
0.033598,-0.001985,-0.003512
0.016493,-0.019548,-0.006414
0.009316,-0.018937,-0.004123
0.008552,-0.029016,-0.009316
-0.001069,-0.040775,-0.00901
-0.01237,-0.016646,0.000916
-0.014355,0.002291,0.006567
-0.006567,0.005651,0.00168
-0.003512,0.016952,0.005956
0.009774,0.016952,0.009163
0.012217,0.006567,0.007178
0.010996,0.00901,0.008705
0.00336,0.020006,0.015882
0.002138,0.034361,0.019548
-0.00901,0.040928,0.016188
-0.008552,0.028253,0.005956
-0.001985,0.018021,-0.000916
-0.011606,0.00733,0.001222
-0.01405,-0.000611,-0.000764
-0.012828,-0.017257,-0.002443
-0.008705,-0.008399,-0.003512
-0.017104,-0.003971,0.008094
-0.011606,-0.004276,0.007025
-0.007025,-0.002291,0.00733
-0.018631,0.011454,0.00672
-0.020464,0.008552,0.006261
-0.019395,0.005345,0.001222
-0.017562,-0.005192,0.000611
-0.015577,-0.017868,0.000153
-0.016493,-0.026878,-0.00168
-0.017868,-0.019548,-0.001527
-0.018173,-0.004276,-0.009621
-0.020617,0.020922,-0.008094
-0.018631,0.023518,-0.008094
-0.011912,0.018784,-0.00733
-0.008399,-0.003054,-0.005498
-0.006109,-0.015882,-0.004581
-0.002443,-0.021228,-0.007789
-0.007025,-0.016952,-0.003971
-0.011148,-0.003512,-0.006109
-0.022907,0.011606,0.002749
-0.023824,0.036805,-0.002749
-0.021838,0.049022,-0.000764
-0.012675,0.04948,0.002443
-0.005192,0.029474,0.003207
-0.003971,-0.01069,0.00168
-0.004887,-0.036499,-0.006261
-0.010385,-0.036652,-0.01069
-0.006414,-0.01741,-0.014813
-0.015424,0.012217,-0.01069
-0.023366,0.034361,-0.008858
-0.016341,0.032223,-0.008705
-0.002596,0.011606,-0.016035
0.001222,0.011148,-0.009621
0.016952,0.009927,-0.006261
0.023518,-0.004276,-0.011301
0.023671,-0.004581,-0.006109
0.01573,0.001222,-0.008705
0.017104,0.01573,-0.006261
0.020464,0.007025,-0.008247
0.018631,-0.003971,-0.005956
0.005956,-0.001833,-0.005651
0.003665,-0.011148,-0.009163
0.001833,-0.008858,-0.011912
0.004429,0.000305,-0.010232
0.006109,0.002902,-0.008858
0.008552,0.013439,-0.007941
0.015272,0.01405,-0.011759
0.01573,0.007789,-0.007178
0.020464,0.004734,-0.00733
0.016952,-0.001833,-0.005345
0.016341,0.007025,-0.010232
0.017715,0.008552,-0.009163
0.013744,0.004734,-0.008705
0.012523,0.03879,-0.011606
0.018937,0.004887,-0.007789
0.02138,0.010232,-0.010537
0.010996,-0.003665,-0.009163
0.00504,0.011454,-0.008858
0.000764,0.009163,-0.007178
0.001527,-0.002138,-0.003665
0.00336,-0.00901,-0.00733
0.012217,-0.026267,-0.001833
0.007941,-0.029932,-0.007178
0.004276,-0.012217,-0.005498
-0.003818,0.014508,-0.002291
-0.006872,0.011148,-0.008247
-0.002596,0.013439,-0.015882
-0.00336,0.038026,-0.004429
0.001527,0.04612,-0.010537
0.016952,0.049022,-0.005651
0.01405,0.060018,0.00336
0.013439,0.015272,-0.002138
0.002596,-0.025045,-0.016799
0.002291,-0.016188,-0.020464
-0.016341,0.029322,-0.005956
-0.019548,0.055283,-0.000153
-0.013134,0.042608,-0.008858
-0.002443,0.016188,-0.017104
